timestamp,open,high,low,close,volume
2025-06-20 08:00:00,480.08,480.08,479.82,479.83,914.0
2025-06-20 08:01:00,479.8,479.99,479.8,479.99,880.0
2025-06-20 08:02:00,479.85,479.85,479.8,479.8,1515.0
2025-06-20 08:03:00,479.81,479.81,479.81,479.81,776.0
2025-06-20 08:06:00,479.67,479.67,479.67,479.67,156.0
2025-06-20 08:07:00,479.79,479.79,479.79,479.79,377.0
2025-06-20 08:08:00,479.64,479.64,479.6,479.6,1705.0
2025-06-20 08:10:00,479.61,479.61,479.61,479.61,873.0
2025-06-20 08:18:00,479.51,479.51,479.51,479.51,300.0
2025-06-20 08:19:00,479.21,479.21,479.2,479.2,679.0
2025-06-20 08:22:00,479.02,479.02,479.02,479.02,737.0
2025-06-20 08:39:00,479.02,479.02,479.02,479.02,466.0
2025-06-20 08:41:00,478.9,478.9,478.9,478.9,452.0
2025-06-20 08:50:00,478.61,478.61,478.61,478.61,614.0
2025-06-20 09:04:00,478.03,478.03,478.0,478.0,1585.0
2025-06-20 09:15:00,478.44,478.44,478.44,478.44,374.0
2025-06-20 09:16:00,478.44,478.45,478.44,478.45,618.0
2025-06-20 09:20:00,478.74,478.74,478.74,478.74,595.0
2025-06-20 09:25:00,478.53,478.53,478.53,478.53,265.0
2025-06-20 09:27:00,478.5,478.5,478.5,478.5,553.0
2025-06-20 09:48:00,478.59,478.68,478.59,478.68,577.0
2025-06-20 09:53:00,478.9,478.9,478.9,478.9,1531.0
2025-06-20 09:59:00,479.02,479.02,479.02,479.02,551.0
2025-06-20 10:05:00,478.9,478.9,478.9,478.9,393.0
2025-06-20 10:09:00,478.93,478.93,478.93,478.93,176.0
2025-06-20 10:15:00,478.76,478.76,478.74,478.74,427.0
2025-06-20 10:16:00,478.73,478.73,478.73,478.73,240.0
2025-06-20 10:22:00,478.66,478.66,478.66,478.66,631.0
2025-06-20 10:47:00,479.08,479.1,479.08,479.1,971.0
2025-06-20 11:03:00,478.86,478.86,478.86,478.86,115.0
2025-06-20 11:05:00,478.94,478.94,478.94,478.94,338.0
2025-06-20 11:07:00,479.2,479.2,479.2,479.2,809.0
2025-06-20 11:08:00,479.28,479.28,479.28,479.28,204.0
2025-06-20 11:11:00,479.19,479.19,479.18,479.18,488.0
2025-06-20 11:17:00,479.25,479.25,479.25,479.25,177.0
2025-06-20 11:21:00,479.3,479.6,479.3,479.6,2588.0
2025-06-20 11:23:00,479.15,479.15,479.15,479.15,738.0
2025-06-20 11:27:00,479.34,479.49,479.34,479.49,1152.0
2025-06-20 11:28:00,479.42,479.42,479.42,479.42,217.0
2025-06-20 11:29:00,479.31,479.31,479.3,479.3,1398.0
2025-06-20 11:40:00,479.46,479.46,479.46,479.46,100.0
2025-06-20 11:44:00,479.55,479.82,479.55,479.81,2554.0
2025-06-20 11:45:00,480.0,480.24,480.0,480.24,2957.0
2025-06-20 11:53:00,480.34,480.34,480.25,480.25,575.0
2025-06-20 11:54:00,480.27,480.27,480.24,480.24,477.0
2025-06-20 11:55:00,480.08,480.08,480.02,480.02,293.0
2025-06-20 11:56:00,480.02,480.02,480.02,480.02,538.0
2025-06-20 11:58:00,479.75,479.75,479.75,479.75,762.0
2025-06-20 12:00:00,479.14,480.69,477.88,477.88,12510.0
2025-06-20 12:02:00,480.08,480.1,480.08,480.1,418.0
2025-06-20 12:05:00,479.6756,479.6756,479.6756,479.6756,146.0
2025-06-20 12:08:00,480.24,480.34,480.2,480.2,1290.0
2025-06-20 12:09:00,480.13,480.13,480.13,480.13,238274.0
2025-06-20 12:11:00,480.19,480.19,480.19,480.19,317.0
2025-06-20 12:12:00,480.24,480.24,480.24,480.24,523.0
2025-06-20 12:13:00,480.3,480.3,480.3,480.3,234.0
2025-06-20 12:14:00,480.2999,480.6,480.2999,480.6,2448.0
2025-06-20 12:15:00,480.33,480.33,480.33,480.33,251.0
2025-06-20 12:17:00,480.5,480.5,480.48,480.48,367.0
2025-06-20 12:18:00,480.32,480.32,480.31,480.31,480.0
2025-06-20 12:19:00,480.45,480.45,480.0,480.0,2782.0
2025-06-20 12:22:00,480.32,480.32,480.29,480.29,765.0
2025-06-20 12:25:00,480.1,480.1,480.1,480.1,426.0
2025-06-20 12:27:00,480.39,480.7,480.39,480.7,2617.0
2025-06-20 12:29:00,480.67,480.67,480.67,480.67,302.0
2025-06-20 12:33:00,480.6,480.7,480.6,480.7,1469.0
2025-06-20 12:35:00,480.7,480.7,480.7,480.7,528.0
2025-06-20 12:36:00,480.6,480.63,480.6,480.6,787.0
2025-06-20 12:37:00,480.52,480.52,480.46,480.46,629.0
2025-06-20 12:40:00,480.53,480.53,480.53,480.53,794.0
2025-06-20 12:41:00,480.7,480.7999,480.7,480.7999,5002.0
2025-06-20 12:42:00,480.8,480.85,480.78,480.84,2042.0
2025-06-20 12:43:00,480.76,480.76,480.76,480.76,710.0
2025-06-20 12:44:00,480.76,480.78,480.74,480.78,2143.0
2025-06-20 12:45:00,480.88,480.88,480.88,480.88,785.0
2025-06-20 12:46:00,480.77,480.77,480.77,480.77,313.0
2025-06-20 12:48:00,480.94,480.94,480.94,480.94,317.0
2025-06-20 12:49:00,480.7911,480.7911,480.7911,480.7911,155.0
2025-06-20 12:54:00,481.0,481.0,481.0,481.0,1043.0
2025-06-20 12:55:00,481.0,481.14,480.88,480.93,10934.0
2025-06-20 12:56:00,480.95,480.95,480.95,480.95,469.0
2025-06-20 13:01:00,480.93,480.93,480.93,480.93,578.0
2025-06-20 13:03:00,481.02,481.25,481.0,481.0,832.0
2025-06-20 13:05:00,481.2286,481.2286,481.2286,481.2286,136.0
2025-06-20 13:06:00,481.11,481.11,481.11,481.11,1418.0
2025-06-20 13:07:00,481.2,481.2,481.2,481.2,2701.0
2025-06-20 13:08:00,481.2,481.25,481.2,481.25,3298.0
2025-06-20 13:10:00,481.25,481.25,481.2499,481.2499,547.0
2025-06-20 13:11:00,481.2,481.2,481.2,481.2,587.0
2025-06-20 13:14:00,481.26,481.26,481.26,481.26,335.0
2025-06-20 13:15:00,481.18,481.18,481.15,481.15,1039.0
2025-06-20 13:18:00,481.14,481.14,481.07,481.07,473.0
2025-06-20 13:19:00,481.3,481.6899,481.2207,481.6899,3076.0
2025-06-20 13:20:00,481.6,481.81,481.6,481.81,1347.0
2025-06-20 13:22:00,481.73,481.89,481.65,481.87,3253.0
2025-06-20 13:23:00,481.89,482.0,481.89,481.97,5096.0
2025-06-20 13:24:00,481.83,481.83,481.79,481.79,895.0
2025-06-20 13:25:00,481.66,481.79,480.76,481.02,13390.0
2025-06-20 13:26:00,480.84,481.33,480.79,481.33,4633.0
2025-06-20 13:27:00,481.15,483.84,481.15,482.07,23274.0
2025-06-20 13:28:00,482.85,482.94,482.15,482.87,18650.0
2025-06-20 13:29:00,482.77,482.77,478.08,482.0,176059.0
2025-06-20 13:30:00,482.23,482.49,480.98,481.74,4758747.0
2025-06-20 13:31:00,481.74,482.31,481.5,482.2899,72605.0
2025-06-20 13:32:00,482.2493,482.885,482.14,482.485,124971.0
2025-06-20 13:33:00,482.49,482.74,482.14,482.71,137640.0
2025-06-20 13:34:00,482.71,483.3,482.7,483.16,93594.0
2025-06-20 13:35:00,483.245,483.255,482.44,482.57,123950.0
2025-06-20 13:36:00,482.6,482.94,482.59,482.94,100176.0
2025-06-20 13:37:00,482.97,483.0877,482.65,482.665,51206.0
2025-06-20 13:38:00,482.725,483.23,480.23,482.935,260605.0
2025-06-20 13:39:00,482.935,483.24,482.87,483.175,70850.0
2025-06-20 13:40:00,483.14,483.46,482.64,482.64,66082.0
