timestamp,rows,features,labels
2025-06-26T22:52:57.169519,0,12,0
2025-06-26T22:57:00.962365,1,12,1
2025-06-26T23:00:19.511974,3,12,2
2025-06-26T23:32:18.640682,3,12,2
